App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,reviews_int,size_int,installs_int,price_int
CM Locker - Security Lockscreen,TOOLS,4.6,3090727,Varies with device,"100,000,000+",Free,0,Everyone,Tools,"July 31, 2018",Varies with device,Varies with device,111741.0,66000000.0,5000000.0,0.0
EC Calgary,FAMILY,5.0,6,8.1M,100+,Free,0,Teen,Education,"June 26, 2018",3.8.0,4.1 and up,,,,
Iron Blade,GAME,4.4,161637,82M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",1.7.0m,4.0.3 and up,659.0,5000000.0,10000.0,0.0
"SayHi Chat, Meet New People",SOCIAL,4.2,423105,Varies with device,"10,000,000+",Free,0,Mature 17+,Social,"July 9, 2018",Varies with device,Varies with device,76779.0,0.0,10000000.0,0.0
CG Fit Scale,HEALTH_AND_FITNESS,2.6,13,3.3M,"1,000+",Free,0,Everyone,Health & Fitness,"October 13, 2015",1.1.4,4.0 and up,594406.0,0.0,10000000.0,0.0
Puffin Web Browser,COMMUNICATION,4.3,541661,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 9, 2018",7.5.3.20547,4.1 and up,496.0,39000000.0,100000.0,0.0
Be the Manager 2018 - Football Strategy,SPORTS,4.3,7557,7.4M,"100,000+",Free,0,Everyone,Sports,"March 12, 2018",2.2.1,4.2 and up,5.0,2400000.0,100.0,0.0
Visuelles Wörterbuch Audio-App,FAMILY,3.1,192,66M,"10,000+",Free,0,Everyone,Education,"July 7, 2017",1.1.6,4.1 and up,191.0,28000000.0,10000.0,0.0
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,4.2,2178,99M,"500,000+",Free,0,Everyone,Racing;Action & Adventure,"August 23, 2017",1.0.8,4.1 and up,10.0,15000000.0,1000.0,0.0
THAI DICT 2018,EDUCATION,4.4,29855,Varies with device,"1,000,000+",Free,0,Mature 17+,Education,"July 29, 2018",Varies with device,Varies with device,87384.0,0.0,10000000.0,0.0
EP RSS Reader,COMMUNICATION,3.8,4,892k,100+,Free,0,Everyone,Communication,"July 16, 2018",0.99,4.0.3 and up,,,,
Period Tracker,MEDICAL,4.9,100082,3.7M,"1,000,000+",Free,0,Everyone,Medical,"July 9, 2018",1.2.2,4.1 and up,74476.0,23000000.0,10000000.0,0.0
Trazado de tuberia El Tubero,TOOLS,4.5,313,4.4M,"10,000+",Paid,$1.97,Everyone,Tools,"March 29, 2015",4.1,1.5 and up,,,,
T-Mobile in,FINANCE,3.5,3856,8.2M,"1,000,000+",Free,0,Everyone,Finance,"July 31, 2018",3.2.1,4.4 and up,205299.0,31000000.0,5000000.0,0.0
Jiji.ng,SHOPPING,4.4,25714,12M,"1,000,000+",Free,0,Everyone,Shopping,"July 24, 2018",3.8.2.2,4.0.3 and up,7153.0,0.0,1000000.0,0.0
AndroZip™ FREE File Manager,PRODUCTIVITY,4.2,277794,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"December 7, 2016",Varies with device,Varies with device,9433.0,9300000.0,500000.0,0.0
Transit: Real-Time Transit App,MAPS_AND_NAVIGATION,4.2,43269,Varies with device,"5,000,000+",Free,0,Everyone,Maps & Navigation,"July 18, 2018",4.4.7,Varies with device,298041.0,0.0,10000000.0,0.0
ATI Cargoes and Transportation,BUSINESS,4.7,4162,7.5M,"100,000+",Free,0,Everyone,Business,"July 24, 2018",0.9.4,4.0.3 and up,29313.0,20000000.0,5000000.0,0.0
Yahoo Weather,WEATHER,4.4,1312037,Varies with device,"10,000,000+",Free,0,Everyone,Weather,"August 1, 2018",Varies with device,Varies with device,4637439.0,96000000.0,100000000.0,0.0
DK 15 Minute Language Course,FAMILY,2.8,21,57M,"1,000+",Free,0,Everyone,Education,"April 6, 2018",1.0.0.5,4.0.3 and up,38.0,2600000.0,10000.0,0.0
Castle Clash: RPG War and Strategy FR,FAMILY,4.7,376223,24M,"1,000,000+",Free,0,Everyone,Strategy,"July 18, 2018",1.4.2,4.1 and up,,,,
I Am Wizard,FAMILY,4.2,1493,57M,"100,000+",Free,0,Everyone,Strategy,"April 1, 2018",1.0.9,4.1 and up,45.0,12000000.0,5000.0,0.0
Dine In CT - Food Delivery,SHOPPING,5.0,4,1.6M,"1,000+",Free,0,Everyone,Shopping,"May 16, 2016",1.3,4.0 and up,31705.0,49000000.0,5000000.0,0.0
bz Basel News,NEWS_AND_MAGAZINES,2.2,23,33M,"1,000+",Free,0,Everyone,News & Magazines,"June 6, 2018",1.4.0,5.0 and up,1072565.0,0.0,50000000.0,0.0
Rainfall radar - weather,WEATHER,3.7,26941,Varies with device,"5,000,000+",Free,0,Everyone,Weather,"July 13, 2018",Varies with device,Varies with device,705805.0,35000000.0,50000000.0,0.0
Fo Fo Fish,GAME,3.4,5,21M,50+,Free,0,Everyone,Arcade,"August 25, 2015",1.0,2.3 and up,,,,
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552635,29M,"10,000,000+",Free,0,Everyone,Communication,"August 1, 2018",6.19.1,4.1 and up,37.0,10000000.0,1000.0,0.0
Narrator's Voice,COMICS,4.5,564387,Varies with device,"5,000,000+",Free,0,Everyone,Comics,"July 5, 2018",Varies with device,Varies with device,3648120.0,3300000.0,100000000.0,0.0
AV Pro Voice Changer,FAMILY,3.5,174,5.6M,"50,000+",Free,0,Everyone,Entertainment,"June 29, 2016",1.0.3,4.0 and up,56.0,1500000.0,5000.0,0.0
Google,TOOLS,4.4,8033493,Varies with device,"1,000,000,000+",Free,0,Everyone,Tools,"August 3, 2018",Varies with device,Varies with device,56443.0,43000000.0,1000000.0,0.0
Amazon for Tablets,SHOPPING,4.0,141613,22M,"10,000,000+",Free,0,Teen,Shopping,"July 31, 2018",16.14.0.850,4.4 and up,14544.0,43000000.0,1000000.0,0.0
A Word A Day,FAMILY,3.7,2398,2.9M,"500,000+",Free,0,Everyone,Education,"January 5, 2017",5.8,4.0 and up,156.0,43000000.0,10000.0,0.0
AI Today : Artificial Intelligence News & AI 101,NEWS_AND_MAGAZINES,5.0,43,2.3M,100+,Free,0,Everyone,News & Magazines,"June 22, 2018",1.0,4.4 and up,7.0,5300000.0,500.0,0.0
P XPERIA Theme™ | Design For SONY 🎨,PERSONALIZATION,4.4,147,16M,"10,000+",Free,0,Everyone,Personalization,"May 28, 2018",1.0.0,4.4 and up,27.0,4200000.0,10000.0,0.0
AE Video Poker,GAME,4.0,721,18M,"50,000+",Free,0,Teen,Casino,"December 31, 2015",1.3.2,2.3 and up,6344.0,32000000.0,500000.0,0.0
Endless Ducker,GAME,4.5,8193,41M,"500,000+",Free,0,Everyone,Arcade,"September 16, 2016",1.0.7,4.0.3 and up,12.0,2200000.0,500.0,0.0
Launcher,PERSONALIZATION,4.5,102923,18M,"1,000,000+",Free,0,Everyone,Personalization,"July 10, 2018",2.1.2,5.0 and up,2349421.0,39000000.0,100000000.0,0.0
MARVEL Contest of Champions,GAME,4.3,2468063,92M,"50,000,000+",Free,0,Teen,Action,"July 30, 2018",19.1.0,4.0.3 and up,97.0,3500000.0,1000.0,2.99
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,257724.0,69000000.0,10000000.0,0.0
Learn to Speak English,EDUCATION,4.4,33646,7.0M,"1,000,000+",Free,0,Everyone,Education,"July 15, 2018",2.3.9,4.0 and up,3782.0,9500000.0,100000.0,0.0
Bible KJV,BOOKS_AND_REFERENCE,4.5,42729,Varies with device,"5,000,000+",Free,0,Everyone,Books & Reference,"November 26, 2014",Varies with device,Varies with device,949.0,411000.0,100000.0,0.0
CL REPL,TOOLS,5.0,47,17M,"1,000+",Free,0,Everyone,Tools,"April 10, 2018",1.0.19,4.1 and up,7.0,73000000.0,10.0,0.99
DW Maps,TRAVEL_AND_LOCAL,3.7,35,13M,"10,000+",Free,0,Everyone,Travel & Local,"June 6, 2017",1.9,2.3.3 and up,,,,
Identity V,GAME,4.2,109263,38M,"1,000,000+",Free,0,Teen,Action,"July 10, 2018",1.0.144431,4.1 and up,5195.0,64000000.0,100000.0,0.0
Familial Hypercholesterolaemia Handbook,MEDICAL,1.0,2,33M,100+,Free,0,Everyone,Medical,"July 2, 2018",2.0.1,4.1 and up,,,,
CS Interview Questions (TechQ),FAMILY,4.8,33,6.7M,"5,000+",Free,0,Everyone,Education,"January 27, 2017",1.5,4.1 and up,58553.0,50000000.0,1000000.0,0.0
Fairy Kingdom: World of Magic and Farming,FAMILY,4.4,129542,63M,"1,000,000+",Free,0,Everyone,Strategy;Creativity,"July 23, 2018",2.4.9,4.0.3 and up,,,,
Audiobooks from Audible,BOOKS_AND_REFERENCE,4.5,568922,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"August 1, 2018",Varies with device,Varies with device,2.0,33000000.0,50.0,0.0
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,344585.0,0.0,50000000.0,0.0
Monster Ride Pro,GAME,5.0,1,24M,10+,Free,0,Everyone,Racing,"March 5, 2018",2.0,2.3 and up,,,,
Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,19230.0,45000000.0,5000000.0,0.0
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18M,"1,000,000+",Free,0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up,1295606.0,11000000.0,100000000.0,0.0
